ZoonosesDic-id	lexicalCue	lexicalCue_jpn	exactID	synonymID	lexicalTextAE-span	Registered	LastUpdated
ZoonosesDic-id_21	Benin	ベナン共和国	MESH:D001541		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1513-1518	2021-09-26	
ZoonosesDic-id_22	therapeutic	治療			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1523-1534	2021-09-26	
ZoonosesDic-id_23	infectious	感染	MESH:D003141		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1560-1570	2021-09-26	
ZoonosesDic-id_24	inflammatory diseases	炎症性疾患	MESH:D007249		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1575-1596	2021-09-26	
ZoonosesDic-id_25	diseases	症	MESH:D003141		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1588-1596	2021-09-26	
ZoonosesDic-id_26	digestive disorders	消化器疾患	MESH:D004066		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1607-1626	2021-09-26	
ZoonosesDic-id_27	snake bites	ヘビ咬傷	MESH:D012909		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1628-1639	2021-09-26	
ZoonosesDic-id_28	diarrhea	下痢	MESH:D003967		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1644-1652	2021-09-26	
ZoonosesDic-id_29	anti-inflammatory activity	抗炎症活性		MESH:D000893	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2231-2257	2021-09-26	
ZoonosesDic-id_30	inhibiting	阻害			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2261-2271	2021-09-26	
ZoonosesDic-id_31	pro-inflammatory cytokine	炎症誘発性サイトカイン	MESH:D018925		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2272-2297	2021-09-26	
ZoonosesDic-id_32	release	放出			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2298-2305	2021-09-26	
ZoonosesDic-id_33	moderate	適度			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2312-2320	2021-09-26	
ZoonosesDic-id_34	influence	影響を与える			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2321-2330	2021-09-26	
ZoonosesDic-id_35	intestinal motility	腸の運動	MESH:D005769		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2334-2353	2021-09-26	
ZoonosesDic-id_36	LPS	LPS（リポ多糖）	MESH:D008070		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/951-954	2021-09-26	
ZoonosesDic-id_37	induced	誘導性			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/955-962	2021-09-26	
ZoonosesDic-id_38	TNFα	TNFα	Gene:7124		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/963-967	2021-09-26	
ZoonosesDic-id_40	differentiated	分化した			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/981-995	2021-09-26	
ZoonosesDic-id_41	human	ヒト	Tax:9606		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/996-1001	2021-09-26	
ZoonosesDic-id_42	macrophages	マクロファージ	MESH:D008264		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1002-1013	2021-09-26	
ZoonosesDic-id_43	THP-1	THP-1細胞	MESH:D000074084		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1015-1020	2021-09-26	
ZoonosesDic-id_44	IL-8	IL-8	Gene:3576		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1026-1030	2021-09-26	
ZoonosesDic-id_46	cytokine	サイトカイン	MESH:D016207		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1044-1052	2021-09-26	
ZoonosesDic-id_47	IL-1β	IL-1β	Gene:3553		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1054-1059	2021-09-26	
ZoonosesDic-id_48	IFNγ	IFNγ	Gene:3458		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1065-1069	2021-09-26	
ZoonosesDic-id_49	challenged	誘導性			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1071-1081	2021-09-26	
ZoonosesDic-id_50	intestinal	小腸	MESH:D007422		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1088-1098	2021-09-26	
ZoonosesDic-id_51	epithelial cells	上皮細胞	MESH:D004847		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1099-1115	2021-09-26	
ZoonosesDic-id_52	Caco-2	Caco-2細胞	MESH:D018938		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1117-1123	2021-09-26	
ZoonosesDic-id_53	enzyme-linked immunosorbent assay	ELISA法	MESH:D004797		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1141-1174	2021-09-26	
ZoonosesDic-id_54	Pangolins	センザンコウ	Tax:9972		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-87	2021-09-26	
ZoonosesDic-id_55	placental mammals	有胎盤類	Tax:9347		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/99-116	2021-09-26	
ZoonosesDic-id_56	eight	8			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/122-127	2021-09-26	
ZoonosesDic-id_57	world	世界			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/152-157	2021-09-26	
ZoonosesDic-id_58	highly	高く			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/183-189	2021-09-26	
ZoonosesDic-id_59	specialized	特殊化された		MESH:D019648	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/190-201	2021-09-26	
ZoonosesDic-id_60	diet	食餌	MESH:D004032		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/202-206	2021-09-26	
ZoonosesDic-id_61	ants	アリ	Tax:36668		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/210-214	2021-09-26	
ZoonosesDic-id_62	significance	重要			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/240-252	2021-09-26	
ZoonosesDic-id_63	control	制御			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/260-267	2021-09-26	
ZoonosesDic-id_64	forest	森林	MESH:D065928		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/271-277	2021-09-26	
ZoonosesDic-id_65	disaster	災害			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/286-294	2021-09-26	
ZoonosesDic-id_66	extract	抽出物			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1686-1693	2021-09-26	
ZoonosesDic-id_67	inhibited	阻害			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1694-1703	2021-09-26	
ZoonosesDic-id_68	budesonide	ブデソニド	MESH:D019819		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1838-1848	2021-09-26	
ZoonosesDic-id_69	extract	調整物			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1220-1227	2021-09-26	
ZoonosesDic-id_70	basal tone	基底緊張			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1231-1241	2021-09-26	
ZoonosesDic-id_71	contractions	収縮			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1254-1266	2021-09-26	
ZoonosesDic-id_72	rat	ラット	Tax:10116		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1279-1282	2021-09-26	
ZoonosesDic-id_73	small intestinal	小腸	MESH:D007421		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1283-1299	2021-09-26	
ZoonosesDic-id_74	mild	適度な			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1960-1964	2021-09-26	
ZoonosesDic-id_75	spasmolytic effect	痙攣効果	MESH:D010276		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1965-1983	2021-09-26	
ZoonosesDic-id_76	higher	高			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2010-2016	2021-09-26	
ZoonosesDic-id_77	concentrations	濃度			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2017-2031	2021-09-26	
ZoonosesDic-id_78	suppression	抑制			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2039-2050	2021-09-26	
ZoonosesDic-id_79	relaxation	緩和	MESH:D012063		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/2079-2089	2021-09-26	
ZoonosesDic-id_80	Phlebotomine sand flies	フレボトミンサシチョウバエ	Tax:7198		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-182	2021-09-26	
ZoonosesDic-id_81	transmit	媒介	MESH:D018562		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/183-191	2021-09-26	
ZoonosesDic-id_82	viral	ウイルス性	Tax:10239		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/197-202	2021-09-26	
ZoonosesDic-id_83	protozoan	原生動物			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/203-212	2021-09-26	
ZoonosesDic-id_84	bacterial	細菌性	Tax:2		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/217-226	2021-09-26	
ZoonosesDic-id_85	pathogens	病原体			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/227-236	2021-09-26	
ZoonosesDic-id_86	public health	公衆衛生	MESH:D011634		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/240-253	2021-09-26	
ZoonosesDic-id_87	Animal sheds	動物小屋			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/441-455	2021-09-26	
ZoonosesDic-id_88	termite mounds	シロアリの塚			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/441-448	2021-09-26	
ZoonosesDic-id_89	houses	巣			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/460-466	2021-09-26	
ZoonosesDic-id_90	peri-domestic	家屋周辺の			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/481-494	2021-09-26	
ZoonosesDic-id_91	domestic	家屋の			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/499-507	2021-09-26	
ZoonosesDic-id_92	habitats	生息地	MESH:D017753		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/508-516	2021-09-26	
ZoonosesDic-id_93	sand flies	サシチョウバエ	Tax:7198		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/539-549	2021-09-26	
ZoonosesDic-id_94	resting	休息			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/553-560	2021-09-26	
ZoonosesDic-id_95	breeding	繁殖	MESH:D001947		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/564-572	2021-09-26	
ZoonosesDic-id_96	CDC light traps	CDCライトトラップ 			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/880-895	2021-09-26	
ZoonosesDic-id_97	distribution	分布	MESH:D063147		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/950-962	2021-09-26	
ZoonosesDic-id_98	three	3つ			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/984-989	2021-09-26	
ZoonosesDic-id_99	endemic	流行	MESH:D019353		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1005-1012	2021-09-26	
ZoonosesDic-id_100	leishmaniasis	リーシュマニア症	MESH:D007896		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1022-1035	2021-09-26	
ZoonosesDic-id_101	Kenya	ケニア	MESH:D007630		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1039-1044	2021-09-26	
ZoonosesDic-id_102	dry season	乾季			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1083-1093	2021-09-26	
ZoonosesDic-id_103	abundant	多量			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1125-1133	2021-09-26	
ZoonosesDic-id_104	2018	2018年			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1137-1141	2021-09-26	
ZoonosesDic-id_105	2020	2020年			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1146-1150	2021-09-26	
ZoonosesDic-id_106	Sand fly	サシチョウバエ	Tax:7198		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1152-1160	2021-09-26	
ZoonosesDic-id_107	abundance	多量			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1161-1170	2021-09-26	
ZoonosesDic-id_108	species-specific	種特異的			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1210-1226	2021-09-26	
ZoonosesDic-id_109	community structure	群集構造		MESH:D058448	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1286-1305	2021-09-26	
ZoonosesDic-id_110	Shannon diversity and richness	種多様性		MESH:D058448	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1307-1337	2021-09-26	
ZoonosesDic-id_111	highest	高い			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1344-1351	2021-09-26	
ZoonosesDic-id_112	animal shed	動物小屋			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1355-1366	2021-09-26	
ZoonosesDic-id_113	termite mound	シロアリの塚			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1380-1393	2021-09-26	
ZoonosesDic-id_114	lowest	低い			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1398-1404	2021-09-26	
ZoonosesDic-id_115	human dwelling	ヒトの住居			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1412-1426	2021-09-26	
ZoonosesDic-id_116	house	家			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1428-1433	2021-09-26	
ZoonosesDic-id_117	females	メス	MESH:D005260		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1510-1517	2021-09-26	
ZoonosesDic-id_118	host	餌			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1638-1642	2021-09-26	
ZoonosesDic-id_119	blood	血	MESH:D001769		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1658-1663	2021-09-26	
ZoonosesDic-id_120	meal	食餌	MESH:D062407		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1664-1668	2021-09-26	
ZoonosesDic-id_121	gas chromatography-mass spectrometric analysis	ガスクロマトグラフィー–質量分析法（GC/MS）	MESH:D008401		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1683-1729	2021-09-26	
ZoonosesDic-id_122	volatiles	揮発性物質	MESH:D055549		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1733-1742	2021-09-26	
ZoonosesDic-id_123	foot	足	MESH:D005528		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1823-1827	2021-09-26	
ZoonosesDic-id_124	odor	臭い	MESH:D009812		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1828-1832	2021-09-26	
ZoonosesDic-id_125	worn socks	履いた靴下			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1836-1846	2021-09-26	
ZoonosesDic-id_126	houses indoors	屋内の家			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1848-1862	2021-09-26	
ZoonosesDic-id_127	cow	ウシ	Tax:9913		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1865-1868	2021-09-26	
ZoonosesDic-id_128	dung	糞	MESH:D005243		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1869-1873	2021-09-26	
ZoonosesDic-id_129	enclosed vent	密閉された塚			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1909-1922	2021-09-26	
ZoonosesDic-id_130	total of 47	合計47			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1936-1947	2021-09-26	
ZoonosesDic-id_131	volatile organic compounds	揮発性有機化合物	MESH:D055549		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1948-1974	2021-09-26	
ZoonosesDic-id_132	these	揮発性有機化合物	MESH:D055549		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1979-1984	2021-09-26	
ZoonosesDic-id_133	26	26			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1986-1988	2021-09-26	
ZoonosesDic-id_134	35	35			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1990-1992	2021-09-26	
ZoonosesDic-id_135	16	16			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1997-1999	2021-09-26	
ZoonosesDic-id_136	socks	靴下			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2023-2028	2021-09-26	
ZoonosesDic-id_137	enclosed	密閉された			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2043-2051	2021-09-26	
ZoonosesDic-id_138	vent	塚			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2060-2064	2021-09-26	
ZoonosesDic-id_139	1-octen-3-ol	1-オクテン-3-オール	MESH:C038844		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2100-2112	2021-09-26	
ZoonosesDic-id_140	6-methyl-5-hepten-2-one	6-メチル-5-ヘプテン-2-オン	MESH:C029750		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2114-2137	2021-09-26	
ZoonosesDic-id_141	α-pinene	α-ピネン	MESH:C005451		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2139-2147	2021-09-26	
ZoonosesDic-id_142	benzyl alcohol	ベンジルアルコール	MESH:D019905		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2149-2163	2021-09-26	
ZoonosesDic-id_143	m-cresol	m-クレゾール	MESH:C042041		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2165-2173	2021-09-26	
ZoonosesDic-id_144	p-cresol	p-クレゾール	MESH:C032538		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2175-2183	2021-09-26	
ZoonosesDic-id_145	decanal	デカナール	MESH:C021170		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2188-2195	2021-09-26	
ZoonosesDic-id_146	attractants	誘因物質		MESH:D010675	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2217-2228	2021-09-26	
ZoonosesDic-id_147	sandflies	サシチョウバエ	Tax:7198		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2233-2242	2021-09-26	
ZoonosesDic-id_148	feeding	吸う	MESH:D005247		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2259-2266	2021-09-26	2021-09-29
ZoonosesDic-id_149	insects	虫	Tax:50557		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/2267-2274	2021-09-26	
ZoonosesDic-id_150	February 17	2月17日			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/104-115	2021-09-26	
ZoonosesDic-id_151	2016	2016年			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/117-121	2021-09-26	
ZoonosesDic-id_152	14,122	14,122			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/134-140	2021-09-26	
ZoonosesDic-id_153	cases	症例			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/141-146	2021-09-26	
ZoonosesDic-id_154	62	62			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/148-150	2021-09-26	
ZoonosesDic-id_155	%	%			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/150-151	2021-09-26	
ZoonosesDic-id_156	Ebola Virus Disease	エボラウイルス病	MESH:D019142		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/166-185	2021-09-26	
ZoonosesDic-id_157	Ebola	エボラウイルス病	MESH:D019142		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/187-192	2021-09-26	
ZoonosesDic-id_158	3,955	3,955			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/198-203	2021-09-26	
ZoonosesDic-id_159	deaths	死亡	MESH:D003643		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/218-224	2021-09-26	
ZoonosesDic-id_160	Sierra Leone	シエラレオネ共和国	MESH:D012807		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/246-258	2021-09-26	
